,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
0,,Umum,Lain-lain,[],[]
1,sudah hari wifi iconet saya mati tolong dong baik sudah lama sih ini hari,ICONNET,Feature Error ICONNET,"['wifi', 'iconet', 'mati', 'tolong']","['wifi', 'iconet', 'mati', 'tolong']"
2,sudah lapor via aplikasitapi tidak ada tindak lanjut dari yang sangkut,Service O2O,Laporan pengaduan tidak di respon,"['lapor', 'via', 'aplikasitapi', 'tindak', 'sangkut']","['lapor', 'via', 'aplikasitapi', 'tindak', 'sangkut']"
3,gak ada tugas datang eh tau di aplikasi udah status nyala,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['gak', 'tugas', 'aplikasi', 'udah', 'status', 'nyala']","['gak', 'tugas', 'aplikasi', 'udah', 'status', 'nyala']"
4,layan lambat dan aplikasi loading terus,Feature Errors,Gangguan Server,"['layan', 'lambat', 'aplikasi', 'loading']","['layan', 'lambat', 'aplikasi', 'loading']"
5,saldo potong dari akun shopeepay utk beli token tapi di aplikasi mobile status gagal ini gimana kirim keluh ga ada respon trs uang  itu kmna  butuh no token nya skarang,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['saldo', 'potong', 'akun', 'shopeepay', 'utk', 'beli', 'token', 'aplikasi', 'mobile', 'status', 'gagal', 'gimana', 'kirim', 'keluh', 'ga', 'respon', 'trs', 'uang', 'kmna', 'butuh', 'no', 'token', 'nya', 'skarang']","['saldo', 'potong', 'akun', 'shopeepay', 'utk', 'beli', 'token', 'aplikasi', 'mobile', 'status', 'gagal', 'gimana', 'kirim', 'keluh', 'ga', 'respon', 'trs', 'uang', 'kmna', 'butuh', 'no', 'token', 'nya', 'skarang']"
6,listrik rumah saya hari padam aju kali tidak ada tindak pln parah lot sekali jika ada masalah tapi kalau bayar tidak boleh telat rasaya bintang pun tidak bisa wakil kecewa saya,Service O2O,Respon lambat terhadap keluhan pemadaman,"['listrik', 'rumah', 'padam', 'aju', 'kali', 'tindak', 'pln', 'parah', 'lot', 'bayar', 'telat', 'rasaya', 'bintang', 'wakil', 'kecewa']","['listrik', 'rumah', 'padam', 'aju', 'kali', 'tindak', 'pln', 'parah', 'lot', 'bayar', 'telat', 'rasaya', 'bintang', 'wakil', 'kecewa']"
7,saat adu susah untuk uplode poto eror trus,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['adu', 'susah', 'uplode', 'poto', 'eror', 'trus']","['adu', 'susah', 'uplode', 'poto', 'eror', 'trus']"
8,apa fungsi gopaylink ajaovo di aplikasi kalau tidak bisa guna bayar iconnet dan listrik,Feature Design,Fitur Payment,"['fungsi', 'gopaylink', 'ajaovo', 'aplikasi', 'bayar', 'iconnet', 'listrik']","['fungsi', 'gopaylink', 'ajaovo', 'aplikasi', 'bayar', 'iconnet', 'listrik']"
9,hai pln mohon maaf kenapa tagih listrik kamu bengkak sangat banyak sedang guna listrik kami tidak banyak dan guna cara wajar,Umum,Keluhan Probis,"['pln', 'mohon', 'maaf', 'tagih', 'listrik', 'bengkak', 'listrik', 'wajar']","['pln', 'mohon', 'maaf', 'tagih', 'listrik', 'bengkak', 'listrik', 'wajar']"
10,sudah jam buat adu tidak juga tanggap,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['jam', 'adu', 'tanggap']","['jam', 'adu', 'tanggap']"
11,udah aku bayar tapi iconnet   pasang alas rusakudah  benarin tapi punya aku   pasang punya orang yg gang samping sy sudah  pasang duluankecewa bangat,ICONNET,Service O2O ICONNET,"['udah', 'bayar', 'iconnet', 'pasang', 'alas', 'rusakudah', 'benarin', 'pasang', 'orang', 'gang', 'samping', 'sy', 'pasang', 'duluankecewa', 'bangat']","['udah', 'bayar', 'iconnet', 'pasang', 'alas', 'rusakudah', 'benarin', 'pasang', 'orang', 'gang', 'samping', 'sy', 'pasang', 'duluankecewa', 'bangat']"
12,soal ini blm ada tangan sama sekali listrik padam mulai sabtu dini hari hingga skrg blm ada baik sama sekali,Service O2O,Respon lambat terhadap keluhan pemadaman,"['blm', 'tangan', 'listrik', 'padam', 'sabtu', 'skrg', 'blm']","['blm', 'tangan', 'listrik', 'padam', 'sabtu', 'skrg', 'blm']"
13,listrik belum sambung,Service O2O,Mengubah daya / pasang baru tanpa realisasi atau pembatalan,"['listrik', 'sambung']","['listrik', 'sambung']"
